,URN,SCHNAME,PCODE,LAC,NFTYPE,TOTPUPS,TPUPYEAR,BELIG,GELIG,PBELIG,PGELIG,READPROG,READPROG_LOWER,READPROG_UPPER,WRITPROG,WRITPROG_LOWER,WRITPROG_UPPER,MATPROG,PTREAD_EXP,PTGPS_EXP,PTMAT_EXP,PTWRITTA_EXP,READPROG_B,READPROG_B_LOWER,READPROG_B_UPPER,READPROG_G,READPROG_G_LOWER,READPROG_G_UPPER,READPROG_NotFSM6CLA1A_LOWER,READPROG_NotFSM6CLA1A_UPPER,WRITPROG_B,WRITPROG_G,MATPROG_B,MATPROG_G,TEALGRP1,PTEALGRP1,READPROG_L,READPROG_L_LOWER,READPROG_L_UPPER,READPROG_M,READPROG_M_LOWER,READPROG_M_UPPER,READPROG_H,READPROG_H_LOWER,READPROG_H_UPPER,READPROG_FSM6CLA1A,READPROG_FSM6CLA1A_LOWER,READPROG_FSM6CLA1A_UPPER,READPROG_NotFSM6CLA1A,DIFFN_READPROG,READPROG_EAL,READPROG_EAL_LOWER,READPROG_EAL_UPPER,READPROG_MOBN,READPROG_MOBN_LOWER,READPROG_MOBN_UPPER,AGERANGE,AU
0,100000.0,Sir John Cass's Foundation Primary School,EC3A 5DE,E09000001,VA,250,28.0,16,12,57%,43%,2.7,0.4,5,2.2,-0.1,4.5,3,93%,96%,100%,96%,1,-2.1,4.1,4.9,1.3,8.5,0.9,7.1,1.3,3.4,2.9,3.1,10,36%,SUPP,SUPP,SUPP,1.9,-0.9,4.7,2.8,-2.2,7.8,0.9,-2.7,4.5,4,0.6,2.5,-0.4,5.4,2.7,0.4,5,11,E09000001
1,100029.0,Christ Church School,NW1 4BD,E09000007,VA,229,29.0,17,11,61%,39%,2.3,0,4.6,1.4,-0.9,3.7,0.3,61%,64%,50%,75%,3.2,0.2,6.2,1.1,-2.6,4.8,-1.8,5.6,0.6,2.7,1.7,-1.9,13,46%,1.8,-3.2,6.8,2.4,-0.4,5.2,SUPP,SUPP,SUPP,2.6,-0.4,5.6,1.9,2.3,3.6,0.4,6.8,2.3,0,4.6,11,E09000007
2,130342.0,Christopher Hatton Primary School,EC1R 4PQ,E09000007,CY,233,28.0,16,12,57%,43%,3.4,0.9,5.9,2.2,-0.3,4.7,2.3,93%,93%,86%,89%,3.6,0.3,6.9,3.1,-0.6,6.8,-0.5,6.3,1.2,3.4,2.5,2,11,39%,SUPP,SUPP,SUPP,3.4,0.4,6.4,1.3,-3.3,5.9,3.9,0.3,7.5,2.9,3.6,2,-1.3,5.3,3.4,0.9,5.9,11,E09000007
3,100013.0,Edith Neville Primary School,NW1 1DN,E09000007,CY,221,29.0,9,20,31%,69%,2,-0.3,4.3,1.4,-0.9,3.7,6,72%,76%,90%,72%,1.7,-2.4,5.8,2.2,-0.6,5,-1,7.2,0.5,1.8,5.9,6,0,0%,SUPP,SUPP,SUPP,2,-0.6,4.6,SUPP,SUPP,SUPP,1.5,-1.3,4.3,3.1,1.2,2,-0.3,4.3,2,-0.3,4.3,11,E09000007
4,100027.0,Eleanor Palmer Primary School,NW5 2JA,E09000007,CY,237,30.0,15,15,50%,50%,3.5,1.3,5.7,0.4,-1.9,2.7,2.7,93%,93%,93%,87%,1.4,-1.8,4.6,5.5,2.3,8.7,1.6,7,-2.1,2.9,2.9,2.5,20,67%,SUPP,SUPP,SUPP,5,2,8,3,-0.6,6.6,1.5,-2.6,5.6,4.3,1.2,3.2,-0.7,7.1,3.5,1.3,5.7,11,E09000007
5,100026.0,Fitzjohn's Primary School,NW3 6NP,E09000007,CY,232,28.0,14,13,52%,48%,-0.3,-3,2.4,-4.7,-7.4,-2,0,74%,78%,74%,56%,1.1,-2.8,5,-1.6,-5.3,2.1,SUPP,SUPP,-4.6,-4.8,0.7,-0.8,18,67%,SUPP,SUPP,SUPP,0.1,-3.8,4,3.4,-0.7,7.5,SUPP,SUPP,SUPP,SUPP,SUPP,0.7,-3.9,5.3,-0.2,-3,2.6,11,E09000007
6,100014.0,Fleet Primary School,NW3 2QT,E09000007,CY,225,31.0,17,13,57%,43%,2,-0.2,4.2,-3.8,-6.1,-1.5,-0.2,80%,67%,77%,70%,2.2,-0.8,5.2,1.8,-1.6,5.2,0.6,6.2,-3,-4.9,0.6,-1.2,21,70%,SUPP,SUPP,SUPP,1.5,-1.7,4.7,2.2,-1.2,5.6,-0.8,-4.7,3.1,3.4,-1.1,0.4,-3.7,4.5,2,-0.2,4.2,11,E09000007
7,100008.0,Argyle Primary School,WC1H 9EG,E09000007,CY,417,59.0,27,33,45%,55%,-4,-5.6,-2.4,-0.4,-2,1.2,0.8,48%,78%,78%,73%,-4.5,-6.9,-2.1,-3.6,-5.8,-1.4,-6.9,-0.9,-0.4,-0.4,2.5,-0.6,5,8%,-4.5,-9.1,0.1,-4.2,-6.1,-2.3,-3,-6.9,0.9,-4.1,-6,-2.2,-3.9,-4.4,-4,-5.7,-2.3,-4.2,-5.9,-2.5,11,E09000007
8,100025.0,Gospel Oak Primary School,NW3 2JB,E09000007,CY,471,59.0,30,29,51%,49%,4.4,2.7,6.1,1.3,-0.4,3,2.3,73%,80%,69%,69%,3.9,1.6,6.2,4.8,2.4,7.2,3.6,8.4,0.3,2.3,3.8,0.7,25,42%,4.8,0.5,9.1,3.9,1.9,5.9,5.9,1.8,10,2.8,0.5,5.1,6,2.5,3.3,1.1,5.5,4.5,2.8,6.2,11,E09000007
9,100031.0,Hampstead Parochial Church of England Primary School,NW3 6TX,E09000007,VA,229,29.0,13,16,45%,55%,4.2,1.8,6.6,0.9,-1.5,3.3,4.2,97%,97%,97%,93%,4.5,1.1,7.9,3.9,0.6,7.2,SUPP,SUPP,1.5,0.3,4.6,3.8,19,66%,SUPP,SUPP,SUPP,3.4,0,6.8,4.6,1.2,8,SUPP,SUPP,SUPP,SUPP,SUPP,4.6,0.3,8.9,4,1.6,6.4,11,E09000007
