Category,Description
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,All categories: Ethnic group
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,White: Total
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,Mixed/multiple ethnic group: Total
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,Asian/Asian British: Total
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,Black/African/Caribbean/Black British: Total
Sex,All persons
Age,All categories: Age 16 and over
Ethnic Group,Other ethnic group: Total
Sex,All persons
Age,Age 16 to 24
Ethnic Group,All categories: Ethnic group
Sex,All persons
Age,Age 16 to 24
Ethnic Group,White: Total
Sex,All persons
Age,Age 16 to 24
Ethnic Group,Mixed/multiple ethnic group: Total
Sex,All persons
Age,Age 16 to 24
Ethnic Group,Asian/Asian British: Total
Sex,All persons
Age,Age 16 to 24
Ethnic Group,Black/African/Caribbean/Black British: Total
Sex,All persons
Age,Age 16 to 24
Ethnic Group,Other ethnic group: Total
Sex,All persons
Age,Age 25 to 49
Ethnic Group,All categories: Ethnic group
Sex,All persons
Age,Age 25 to 49
Ethnic Group,White: Total
Sex,All persons
Age,Age 25 to 49
Ethnic Group,Mixed/multiple ethnic group: Total
Sex,All persons
Age,Age 25 to 49
Ethnic Group,Asian/Asian British: Total
Sex,All persons
Age,Age 25 to 49
Ethnic Group,Black/African/Caribbean/Black British: Total
Sex,All persons
Age,Age 25 to 49
Ethnic Group,Other ethnic group: Total
Sex,All persons
Age,Age 50 to 64
Ethnic Group,All categories: Ethnic group
Sex,All persons
Age,Age 50 to 64
Ethnic Group,White: Total
Sex,All persons
Age,Age 50 to 64
Ethnic Group,Mixed/multiple ethnic group: Total
Sex,All persons
Age,Age 50 to 64
Ethnic Group,Asian/Asian British: Total
Sex,All persons
Age,Age 50 to 64
Ethnic Group,Black/African/Caribbean/Black British: Total
Sex,All persons
Age,Age 50 to 64
Ethnic Group,Other ethnic group: Total
Sex,All persons
Age,Age 65 and over
Ethnic Group,All categories: Ethnic group
Sex,All persons
Age,Age 65 and over
Ethnic Group,White: Total
Sex,All persons
Age,Age 65 and over
Ethnic Group,Mixed/multiple ethnic group: Total
Sex,All persons
Age,Age 65 and over
Ethnic Group,Asian/Asian British: Total
Sex,All persons
Age,Age 65 and over
